2022-06-22 18:16:47 status half-installed dpkg:amd64 1.21.8
2022-06-22 18:16:47 status unpacked dpkg:amd64 1.21.8
2022-06-22 18:16:47 install e2fsprogs:amd64 <none> 1.46.5-2
2022-06-22 18:16:47 status half-installed e2fsprogs:amd64 1.46.5-2
2022-06-22 18:16:47 status unpacked e2fsprogs:amd64 1.46.5-2
2022-06-22 18:16:47 install findutils:amd64 <none> 4.9.0-3
2022-06-22 18:16:47 status half-installed findutils:amd64 4.9.0-3
2022-06-22 18:16:47 status unpacked findutils:amd64 4.9.0-3
2022-06-22 18:16:47 install gcc-12-base:amd64 <none> 12.1.0-2
2022-06-22 18:16:47 status half-installed gcc-12-base:amd64 12.1.0-2
2022-06-22 18:16:47 status unpacked gcc-12-base:amd64 12.1.0-2
2022-06-22 18:16:47 install gpgv:amd64 <none> 2.2.35-2
2022-06-22 18:16:47 status half-installed gpgv:amd64 2.2.35-2
2022-06-22 18:16:47 status unpacked gpgv:amd64 2.2.35-2
2022-06-22 18:16:47 install grep:amd64 <none> 3.7-1
2022-06-22 18:16:47 status half-installed grep:amd64 3.7-1
2022-06-22 18:16:47 status unpacked grep:amd64 3.7-1
2022-06-22 18:16:47 install gzip:amd64 <none> 1.12-1
2022-06-22 18:16:47 status half-installed gzip:amd64 1.12-1
2022-06-22 18:16:47 status unpacked gzip:amd64 1.12-1
2022-06-22 18:16:47 install hostname:amd64 <none> 3.23
2022-06-22 18:16:47 status half-installed hostname:amd64 3.23
2022-06-22 18:16:47 status unpacked hostname:amd64 3.23
2022-06-22 18:16:47 install init-system-helpers:all <none> 1.63
2022-06-22 18:16:47 status half-installed init-system-helpers:all 1.63
2022-06-22 18:16:47 status unpacked init-system-helpers:all 1.63
2022-06-22 18:16:47 install libacl1:amd64 <none> 2.3.1-1
2022-06-22 18:16:47 status half-installed libacl1:amd64 2.3.1-1
2022-06-22 18:16:47 status unpacked libacl1:amd64 2.3.1-1
2022-06-22 18:16:47 install libapt-pkg6.0:amd64 <none> 2.5.0
2022-06-22 18:16:47 status half-installed libapt-pkg6.0:amd64 2.5.0
2022-06-22 18:16:52 status unpacked libapt-pkg6.0:amd64 2.5.0
2022-06-22 18:16:52 install libattr1:amd64 <none> 1:2.5.1-1
2022-06-22 18:16:52 status half-installed libattr1:amd64 1:2.5.1-1
2022-06-22 18:16:52 status unpacked libattr1:amd64 1:2.5.1-1
2022-06-22 18:16:52 install libaudit-common:all <none> 1:3.0.7-1
2022-06-22 18:16:52 status half-installed libaudit-common:all 1:3.0.7-1
2022-06-22 18:16:52 status unpacked libaudit-common:all 1:3.0.7-1
2022-06-22 18:16:52 install libaudit1:amd64 <none> 1:3.0.7-1+b1
2022-06-22 18:16:52 status half-installed libaudit1:amd64 1:3.0.7-1+b1
2022-06-22 18:16:52 status unpacked libaudit1:amd64 1:3.0.7-1+b1
2022-06-22 18:16:52 install libblkid1:amd64 <none> 2.38-4
2022-06-22 18:16:52 status half-installed libblkid1:amd64 2.38-4
2022-06-22 18:16:52 status unpacked libblkid1:amd64 2.38-4
2022-06-22 18:16:52 install libbz2-1.0:amd64 <none> 1.0.8-5
2022-06-22 18:16:52 status half-installed libbz2-1.0:amd64 1.0.8-5
2022-06-22 18:16:52 status unpacked libbz2-1.0:amd64 1.0.8-5
2022-06-22 18:16:52 install libc-bin:amd64 <none> 2.33-7
2022-06-22 18:16:52 status half-installed libc-bin:amd64 2.33-7
2022-06-22 18:16:52 status unpacked libc-bin:amd64 2.33-7
2022-06-22 18:16:52 upgrade libc6:amd64 2.33-7 2.33-7
2022-06-22 18:16:52 status half-configured libc6:amd64 2.33-7
2022-06-22 18:16:52 status unpacked libc6:amd64 2.33-7
2022-06-22 18:16:52 status half-installed libc6:amd64 2.33-7
2022-06-22 18:16:54 status unpacked libc6:amd64 2.33-7
2022-06-22 18:16:54 install libcap-ng0:amd64 <none> 0.7.9-2.2+b2
2022-06-22 18:16:54 status half-installed libcap-ng0:amd64 0.7.9-2.2+b2
2022-06-22 18:16:54 status unpacked libcap-ng0:amd64 0.7.9-2.2+b2
2022-06-22 18:16:55 install libcap2:amd64 <none> 1:2.44-1
2022-06-22 18:16:55 status half-installed libcap2:amd64 1:2.44-1
2022-06-22 18:16:55 status unpacked libcap2:amd64 1:2.44-1
2022-06-22 18:16:55 install libcom-err2:amd64 <none> 1.46.5-2
2022-06-22 18:16:55 status half-installed libcom-err2:amd64 1.46.5-2
2022-06-22 18:16:55 status unpacked libcom-err2:amd64 1.46.5-2
